Term,Market Rate,Shift,Shifted Rate,Zero Rate,Discount
1D,0.08,0,0.08,0.08111,0.999993
1W,0.08,0,0.08,0.08111,0.999984
2W,0.081,0,0.081,0.08212,0.999969
3W,0.08,0,0.08025,0.08136,0.999953
1M,0.08,0,0.0798,0.08091,0.999931
2M,0.08,0,0.0792,0.08029,0.999866
3M,0.082,0,0.08145,0.08257,0.999785
4M,0.085,0,0.0841,0.08526,0.999715
5M,0.093,0,0.0929,0.09417,0.99961
6M,0.103,0,0.1027,0.1041,0.999484
9M,0.154,0,0.1536,0.15564,0.998837
12M,0.226,0,0.2242,0.22705,0.99772
18M,0.396,0,0.396,0.40103,0.994019
2Y,0.585,0,0.5836,0.59105,0.988233
3Y,0.851,0,0.8542,0.86579,0.974338
4Y,1.008,0,1.01235,1.02673,0.959736
5Y,1.113,0,1.1209,1.13752,0.944682
7Y,1.265,0,1.27474,1.2955,0.913208
10Y,1.39,0,1.39725,1.42202,0.867379
12Y,1.451,0,1.45751,1.48503,0.836602
15Y,1.498,0,1.5045,1.53355,0.794374
20Y,1.541,0,1.54744,1.57765,0.729245
25Y,1.534,0,1.54154,1.56643,0.675796
30Y,1.515,0,1.52109,1.53859,0.630076
40Y,1.416,0,1.42129,1.41057,0.568536
50Y,1.305,0,1.30146,1.25899,0.53264
